song_id,album_id
25,62
68,62
252,62
21,62
0,62
125,278
446,278
87,278
364,253
451,357
464,357
262,357
392,71
86,351
360,351
441,351
179,351
198,202
409,417
219,74
400,327
319,327
416,327
212,327
264,204
286,204
339,204
246,248
497,112
147,193
114,247
180,247
70,24
363,24
420,24
11,24
482,24
299,24
88,166
60,166
431,166
7,166
229,166
289,166
217,166
129,391
390,458
330,458
132,458
383,458
194,458
99,189
159,189
61,189
470,189
94,189
472,189
181,375
174,483
295,117
317,117
150,72
361,72
436,72
398,72
263,72
196,160
32,160
168,160
325,160
300,160
2,254
341,341
69,142
31,142
82,142
75,142
14,424
119,424
369,424
439,424
350,20
310,20
450,171
187,171
115,171
474,171
257,171
261,348
481,348
93,348
373,348
475,348
33,149
167,149
26,149
145,149
240,274
141,274
359,274
139,274
215,66
277,76
287,76
102,76
58,76
366,76
320,177
397,73
457,73
335,73
442,73
140,73
36,73
421,90
296,90
230,90
311,90
452,90
127,3
279,205
255,116
387,37
496,345
435,406
123,242
184,316
349,337
81,226
413,226
265,226
427,226
495,226
355,197
136,197
162,197
395,97
284,97
354,97
267,97
272,97
336,128
190,251
122,96
233,106
221,250
303,188
222,188
433,188
