artist_id,articleID
89,25
89,68
89,252
89,21
89,0
89,62
13,125
13,446
13,87
13,278
334,364
334,253
329,451
329,464
329,262
329,357
329,392
329,71
246,86
246,360
246,441
246,179
246,351
27,198
27,202
216,409
216,417
216,219
216,74
315,400
315,319
315,416
315,212
315,327
315,264
315,286
315,339
315,204
145,246
145,248
145,497
145,112
145,147
145,193
270,114
270,180
270,247
113,70
113,363
113,420
113,11
113,482
113,299
113,24
113,88
113,60
113,431
113,7
113,229
113,289
113,217
113,166
238,129
238,391
238,390
238,330
238,132
238,383
238,194
238,458
387,99
387,159
387,61
387,470
387,94
387,472
387,189
236,181
236,375
236,174
236,483
236,295
236,317
236,117
146,150
146,361
146,436
146,398
146,263
146,72
358,196
358,32
358,168
358,325
358,300
358,160
358,2
358,254
358,341
358,5
124,69
124,31
124,82
124,75
124,142
353,14
353,119
353,369
353,439
353,424
353,350
353,310
353,20
143,450
143,187
143,115
143,474
143,257
143,171
335,261
335,481
335,93
335,373
335,475
335,348
144,33
144,167
144,26
144,145
144,149
173,240
173,141
173,359
173,139
173,274
173,215
173,66
163,277
163,287
163,102
163,58
163,366
163,76
163,320
163,177
171,397
171,457
171,335
171,442
171,140
171,36
171,73
354,421
354,296
354,230
354,311
354,452
354,90
200,127
200,3
200,279
200,205
200,255
200,116
231,387
231,37
231,496
231,345
281,435
281,406
281,123
281,242
281,184
281,316
281,349
281,337
359,81
359,413
359,265
359,427
359,495
359,226
118,355
118,136
118,162
118,197
177,395
177,284
177,354
177,267
177,272
177,97
373,336
373,128
373,190
373,251
373,122
373,96
71,233
71,106
71,221
71,250
71,303
71,222
71,433
71,188
